Num of Elite Animats,Average Distance Score,Max Distance Score,Average Food Eaten,Max Food Eaten,Average Reproductive Score,Max Reproductive Score,Average Times Self-Reproduced,Max Times Self-Reproduced,Generation
0,NaN,0,NaN,0,NaN,0,NaN,0,NaN
19,0.3930784,2.712133,0,0,0.05321388,0.2091215,0,0,0
50,0.3588906,2.747936,0.04,1,0.1513182,2,0,0,0
50,0.6376366,6.749401,0.04,1,0.2114926,2,0,0,0.36
50,0.7967891,6.749401,0.06,1,0.3207482,2,0,0,0.8
50,0.8296294,6.749401,0.12,2,0.4394075,3,0,0,1.32
50,0.8040981,6.749401,0.16,2,0.5377709,3,0,0,1.64
50,1.056329,7.780346,0.26,2,0.7582231,3,0,0,2.28
50,1.099401,7.780346,0.28,2,0.8387031,3,0,0,2.9
50,1.081055,7.780346,0.36,2,1.000969,3,0,0,3.82
50,1.156992,7.780346,0.4,2,1.080602,3,0,0,4.22
50,1.258463,7.780346,0.52,2,1.291575,3,0,0,4.74
50,0.9667015,7.780346,0.62,2,1.458134,3,0,0,5.56
50,1.44886,10.67633,0.64,2,1.522123,3,0,0,5.98
50,1.292778,10.67633,0.68,2,1.579562,3,0,0,6.18
50,1.199797,10.80698,0.8,3,1.759126,4,0,0,6.88
50,1.010265,10.67633,0.9,3,1.873699,4,0,0,7.48
