Generation,Average Score in Generation,Max Score in Generation,High Score of All Time
0,2.369697,2.513191,0
1,2.369514,2.512852,2.513191
2,2.369713,2.512852,2.513191
3,2.372242,2.521347,2.513191
4,2.524265,2.969772,2.521347
5,2.710298,3.071045,2.969772
6,2.775732,3.12476,3.071045
7,2.890631,3.186829,3.12476
8,2.92423,3.28994,3.186829
9,2.995116,3.314026,3.28994
10,3.040868,3.291546,3.314026
11,2.976001,3.255798,3.314026
12,2.996076,3.432549,3.314026
13,2.917765,3.375179,3.432549
14,3.003503,3.629143,3.432549
15,2.963597,3.500355,3.629143
